,Cod. Prod,Nome,Margem,Pr. Venda
23,f159846,TORRADA ISABELA TRAD.,50,3.5
24,f698412,LIMPADOR CONC.COALA FLORAL,50,13.5
25,f1212213,SAB.LIQ.PREMISSE DEO.MIX DE FRUTAS C/V,50,11.50
26,f3816,CERA LIQ.BRILHO FACIL INCOLOR,50,12.5
27,f175,CHOC..NESTLE CHARGE,50,2.2
28,f0369899,CHOC.TRENTO DARK 55% CACAU,50,1.99
29,f72258,CHOC.TRENTO CHOC.BRANCO DARK,50,1.99
30,f72541,CHOC.TRENTO ALLEGRO CHOC.DARK C\AMENDOIM,50,2.2
31,f3159,SABAO PED.YPE COCO TOQ.AVEIA INDIVIDUAL,50,3.99
32,f2604,LIMPADOR DESENG.COZINHA QBOA,50,6.5
33,fGENERICO,FILME PVC TECFILM 380L X 11 MICRAS,50,90.5
34,f303,ESPONJA LA DE ACO BOMBRIL 60GR L16P14,50,2.5
35,f655,GUARDANAPO DIVINA MESA 19CMX20 CM,50,1.5
36,f651,GUARDANAPO SNOB PQ GNB23 24X22CM,50,1.99
37,f462,P.H.CLASSY MAXXI 60 MT FS. NEUTRO (16X4),50,6.5
38,f5113,AM.BABY SOFT TOQUE CARINHO AZUL,50,7.2
39,f551,MASSA GALO NINHO 2 SEMOLA,50,4.99
40,f3705,"PAPEL MANTEIGA WYDA 29CMX7,5M",50,7.5
41,f2464,PEPINO DIVINA MESA 300G,50,8.99
42,f263,FAROFA PRONTA PINDUCA DE MANDIOCA,50,7.5
43,f6178,PASTA CRISTAL ROSA UFE,50,5.5
44,f1148,FEIJAO PRETO PE VERMELHO T-1,50,9.99
45,f2717,ESPETINHO MAD.PARANA 25CM 50UN,50,3.99
46,f1146,ARROZ TIO JOAO BRANCO,50,7.99
47,f368541,FAR.DE MAND.PINDUCA BRANCA 500GR,50,3.5
48,f3698521,FAR.DE MAND.PINDUCA TORRADA 500GR,50,3.5
49,f1958,FAR.DE MILHO SINHA FLOCAO,50,3.2
50,f2389,AGUA SANIT.QBOA,50,7.5
51,f5742,ESPONJA P/L LIMPS UNITARIA,50,0.99
52,f580,MASSA GALO ESPAG.8 SEMOLA,50,4.5
53,f72813,DESINF.LIMPS MARINE,50,2.5
54,f6124,ACUCAR MASCAVO DOCE BRASIL,50,10.5
55,f5425,CATCHUP DIVINA MESA BISNAGA,50,2.99
56,f395421,BOLO D.BENTA CENOURA,50,5.99
57,f1124,BOLO D.BENTA LARANJA,50,5.99
58,f2460,BOLO D.BENTA FUBA,50,5.99
59,f2462,BOLO D.BENTA COCO,50,5.99
60,f02223,CHOC.TRENTO AVELAS 38% CACAU,50,1.99
61,f72257,CHOC.TRENTO CHOCOLATE 38% CACAU,50,1.99
62,f0406211,CHOC.TRENTO TORTA DE MACA,50,1.99
63,f72541,CHOC.TRENTO ALLEGRO CHOCO AMENDOIM 38%,50,2.2
64,f72258,CHOC.TRENTO DUO CHOC./CHOC.BCO,50,1.99
65,f866,FUMO CAICARA PRETO,50,4.20
66,f72569,SAL MARINHO DIVINA MESA,50,1.99
67,f2040,OVO CODORNA DIVINA MESA TRAD,50,17.5
68,f4598,AZEITONA VALE FERTIL C/C SACHE,50,3.2
69,f1661,QUEROSENE PETRUS (QUEROSENE),50,14.99
70,f2531,PREND.P/ROUPA MAD.LIMPS,50,2.2
71,f2512212,FOSF.FIAT LUX COZINHA 200 PALITOS,50,3.5
72,f72305,VELA PETALAS VOTIVA SANTO 230GR,50,9.99
73,f5494,"FOSF.PARANA GIGANTE ECO 9,5CM 50 PALITOS",50,2.5
74,f2512213,VELA PETALAS VOTIVA 230GR,50,9.5
75,f328,FOSF.PARANA CX.MADEIRA ECO 40 PALITOS,50,3.5
76,f3735,LUVA LATEX FORRADA (AM) SANRO TOP P,50,10.5
77,f4727,SACO LIXO LIMPS REFORCADO 50L,50,5.5
78,f4316,DESOD.SAN.PEDRA LIMPS FLORAL,50,1.99
79,f6009,DESOD.SAN.PEDRA LIMPS LAVANDA,50,2.20
80,f2312216,MASSA INST.DIVINA MESA CARNE,50,1.2
81,f2512211,FAR.P/QUIBE LUZAGO,50,4.5
82,f2475,PAPEL ALUMINIO DIVINA MESA 45X4M,50,5.20
83,f547,CR.DE LEITE PIRACANJUBA UHT,50,4.50
84,f2633,ALGODAO COTTONBABY CAIXA BRANCO,50,2.99
85,f4550,AMIDO DE MILHO MAIZENA,50,4.5
86,f2269,MASSA DIVINA MESA CAS.BANDEJA N3,50,4.5
87,f2602,SAL P/CHURRASCO DIANA,50,3.2
88,f2812211,MOLHO DE ALHO DIVINA MESA PET,50,4.2
89,f1336,"TOALHA DE PAPEL DIVINA MESA 50FL 20,5X19",50,4.2
90,f72738,CREME DE TRAT.SKALA #MAIS CACHOS,50,8.5
91,f5189,CREME DE TRAT.SKALA #MAIS LISOS,50,8.5
92,f3059,CREME DE TRAT.SKALA BABOSA,50,8.5
93,f2653,CREME DE TRAT.SKALA CERAMIDAS G3,50,8.5
94,f7145,CREME DE TRAT.SKALA DIVINO POTAO,50,8.5
95,f0807218,CREME DE TRAT.SKALA DIVINO POTINHO KIDS,50,8.5
96,f02255,CHOC.TRENTO ALLEGRO CHOC.BCO C\AMENDOIM,50,2.2
97,f3550,AP.B.BIC COMFORT F WOMEN DEPILAR,50,2.99
98,f3588,AP.B.BIC COMFORT 2 P.NORMAL (AZUL),50,2.5
99,f4280,MOLHO SHOYU DIVINA MESA PET,50,3.99
100,f16.1715,INSET.REFIL PAST.MAT INSET TRAD.L12P10,50,2.99
101,f811,CORANTE GUARANI N.31 PRETO (TINGECOR),50,3.99
102,f0209217,TOALHA UMED.BABY FREE,50,3.99
103,f4313,MASSA INST.DIVINA MESA GAL.CAIPIRA,50,1.2
104,f2321,CHA MATTE LEAO ORIGINAL 25 SAQ.,50,4.99
105,f973,FAR.DE TRIGO ESP.SOL (1KG),50,4.99
106,f74,AGUA SANIT.QBOA,50,3.99
107,f134330,PAO DE MEL DIVINA MESA COB.CHOCOLATE,50,2.5
108,f1166,AP.B.BIC COMFORT 3 ADV.SENSIVEL (VERDE),50,4.5
109,f2074,AP.B.BIC COMFORT 3 ADVANCE (AZUL),50,4.5
110,f2821,AP.B.BIC COMFORT 3 BLACK NIGHT,50,4.5
111,f201910,AP.B.BIC DEPILADOR SOLEIL ROSA 3 LAMINAS,50,4.99
112,f5134,GOMA AMERICANA DORI FRUTAS SORTIDAS TUBO,50,0.99
113,f72357,CHOC.TRENTO MOUSSE DE MARACUJA,50,1.99
114,f2764,FEIJOADA ODERICH,50,8.99
115,f865,FAR.DE MILHO C.LARGO AMARELA,50,7.99
116,f479,CERA PASTA CANARIO INCOLOR,50,19.2
117,f3698,SC BEL 99 POTE(NR.ONU-1823). (HIDROX SOD),50,23.99
118,f2221,FEIJAO CARIOCA PE VERMELHO T-1,50,9.99
